variants,SampleType,Animal,kidney,liver,lung,input_norm
cN265,gDNA,m1,44334.00053600001,133001.9129400876,310337.7377482628,2.255607407204277e-05
cN266,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN267,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN268,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN269,gDNA,m1,44334044870.00054,44334044870.00054,88668045406.00056,2.2556051515991252e-11
cN270,gDNA,m1,0.044333956202043806,44334.00053600001,133001.9129400876,2.255607407204277e-05
cN271,gDNA,m1,22167.01135149459,0.022166989184505406,0.022166989184505406,4.511212558803403e-05
cN272,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN273,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN274,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN275,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN276,gDNA,m1,0.022166989184505406,66500.98972050541,0.022166989184505406,4.511212558803403e-05
cN277,gDNA,m1,0.022166989184505406,0.022166989184505406,0.022166989184505406,4.511212558803403e-05
cN278,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN279,gDNA,m1,44334044870.00054,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN280,gDNA,m1,88667.95673804382,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN281,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN282,gDNA,m1,44334044870.00054,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN283,gDNA,m1,44334044870.00054,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN284,gDNA,m1,88667.95673804382,88667.95673804382,44334.00053600001,2.255607407204277e-05
cN285,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
