SampleType,gDNA,gDNA,gDNA
Animal,m1,m1,m1
Tissue,kidney,liver,lung
variants,,,
cN510,0.0,0.0,0.0
cN511,0.0,2.240595102059107e-05,2.239441035517535e-05
cN512,2.246030141724502e-05,4.481190204118214e-05,4.47888207103507e-05
cN513,0.0,0.0,0.0
cN514,0.0,0.0,2.239441035517535e-05
cN515,0.0,2.240595102059107e-05,0.0
cN516,0.0,0.0,2.239441035517535e-05
cN517,0.0,4.481190204118214e-05,4.47888207103507e-05
cN518,0.0,0.0,0.0
cN519,0.0,0.0,0.0
cN520,0.0,0.0,0.0
cN521,0.0,0.0,0.0
cN522,0.0,0.0,0.0
cN523,0.0,0.0,0.0
cN524,0.0,0.0,0.0
cN525,0.0,0.0,0.0
cN526,0.0,0.0,0.0
cN527,0.0,0.0,0.0
cN528,0.0,0.0,0.0
cN529,4.492060283449004e-05,2.240595102059107e-05,0.0
cN530,0.0,0.0,0.0
gN001,4.492060283449004e-05,0.00011202975510295535,4.47888207103507e-05
gN002,4.492060283449004e-05,8.962380408236428e-05,2.239441035517535e-05
gN003,0.0,0.0,2.239441035517535e-05
